Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,initial_stock,current_stock,time_stamp
HOH11,1500,0.153127523,Household,162.5,128.0,128.0,2025-07-19 20:07:59
MEO23,500,0.096433359,Meat,178.5,208.0,208.0,2025-07-19 20:07:59
HOE34,750,0.128136346,Household,248.3,228.0,228.0,2025-07-19 20:07:59
FVQ17,1000,0.122494876,Fruits and Vegetables,100.1,88.0,88.0,2025-07-19 20:07:59
FRT73,400,0.125154452,Frozen Foods,99.2,83.0,83.0,2025-07-19 20:07:59
HHS78,100,0.145013434,Health and Hygiene,225.0,93.0,93.0,2025-07-19 20:07:59
FVD73,300,0.132058566,Fruits and Vegetables,187.6,135.0,135.0,2025-07-19 20:07:59
CAA97,400,0.127449031,Canned,210.5,69.0,69.0,2025-07-19 20:07:59
STE50,500,0.097536998,Starchy Foods,225.4,222.0,222.0,2025-07-19 20:07:59
FRT83,1500,0.143670179,Frozen Foods,48.5,73.0,73.0,2025-07-19 20:07:59
CAF00,800,0.139804885,Canned,265.8,193.0,193.0,2025-07-19 20:07:59
BAB71,250,0.105893301,Baking Goods,86.3,83.0,83.0,2025-07-19 20:07:59
HHH29,250,0.12566436,Health and Hygiene,123.5,111.0,111.0,2025-07-19 20:07:59
FRS36,400,0.150015234,Frozen Foods,157.5,173.0,173.0,2025-07-19 20:07:59
FRG40,600,0.104890428,Frozen Foods,121.4,265.0,265.0,2025-07-19 20:07:59
FVQ18,300,0.152099033,Fruits and Vegetables,252.6,193.0,193.0,2025-07-19 20:07:59
SFE48,30,0.103849783,Snack Foods,58.9,186.0,186.0,2025-07-19 20:07:59
STE11,400,0.154301621,Starchy Foods,106.0,155.0,155.0,2025-07-19 20:07:59
FVY01,200,0.125687917,Fruits and Vegetables,178.2,95.0,95.0,2025-07-19 20:07:59
SDN26,1000,0.167831064,Soft Drinks,237.5,241.0,241.0,2025-07-19 20:07:59
FVD01,200,0.160624116,Fruits and Vegetables,147.0,204.0,204.0,2025-07-19 20:07:59
HHC43,100,0.097909084,Health and Hygiene,242.1,247.0,247.0,2025-07-19 20:07:59
SFL66,30,0.141129263,Snack Foods,121.6,125.0,125.0,2025-07-19 20:07:59
DAR95,200,0.127727102,Dairy,121.1,207.0,207.0,2025-07-19 20:07:59
CAP99,400,0.122684413,Canned,132.3,197.0,197.0,2025-07-19 20:07:59
FVM61,1000,0.09688421,Fruits and Vegetables,233.6,184.0,184.0,2025-07-19 20:07:59
SFR82,100,0.104023565,Snack Foods,112.5,271.0,271.0,2025-07-19 20:07:59
MES06,300,0.170646494,Meat,46.3,237.0,237.0,2025-07-19 20:07:59
STY10,400,0.205605116,Starchy Foods,207.8,197.0,197.0,2025-07-19 20:07:59
BAM64,1000,0.212963193,Baking Goods,59.5,238.0,238.0,2025-07-19 20:07:59
FVX61,500,0.110614538,Fruits and Vegetables,80.7,111.0,111.0,2025-07-19 20:07:59
SFI63,75,0.142393712,Snack Foods,122.7,229.0,229.0,2025-07-19 20:07:59
SFW75,75,0.161039887,Snack Foods,210.3,56.0,56.0,2025-07-19 20:07:59
BAN86,250,0.132995494,Baking Goods,113.6,83.0,83.0,2025-07-19 20:07:59
SDO40,330,0.096689673,Soft Drinks,168.0,174.0,174.0,2025-07-19 20:07:59
FRR14,400,0.126924095,Frozen Foods,87.2,182.0,182.0,2025-07-19 20:07:59
FVK41,1000,0.103340142,Fruits and Vegetables,131.3,184.0,184.0,2025-07-19 20:07:59
BRO78,800,0.142827296,Breads,159.5,145.0,145.0,2025-07-19 20:07:59
MER52,500,0.17417636,Meat,149.0,109.0,109.0,2025-07-19 20:07:59
FVM72,1000,0.122289654,Fruits and Vegetables,46.3,213.0,213.0,2025-07-19 20:07:59
DAQ50,1000,0.128247408,Dairy,121.8,99.0,99.0,2025-07-19 20:07:59
BAC85,500,0.137870237,Baking Goods,175.0,114.0,114.0,2025-07-19 20:07:59
SFX84,100,0.128289285,Snack Foods,105.0,254.0,254.0,2025-07-19 20:07:59
FRZ31,500,0.13842353,Frozen Foods,163.0,263.0,263.0,2025-07-19 20:07:59
FVW58,1000,0.132083542,Fruits and Vegetables,189.6,109.0,109.0,2025-07-19 20:07:59
HOO93,1000,0.140582485,Household,47.2,238.0,238.0,2025-07-19 20:07:59
CAV41,800,0.228469522,Canned,93.3,258.0,258.0,2025-07-19 20:07:59
MEU65,1000,0.123007534,Meat,106.1,246.0,246.0,2025-07-19 20:07:59
HOW11,750,0.180820798,Household,36.0,83.0,83.0,2025-07-19 20:07:59
BAO61,500,0.103693024,Baking Goods,149.9,216.0,216.0,2025-07-19 20:07:59
CAS11,400,0.154244343,Canned,78.0,170.0,170.0,2025-07-19 20:07:59
MED29,1000,0.119428052,Meat,190.9,208.0,208.0,2025-07-19 20:07:59
SFK58,75,0.128235131,Snack Foods,169.3,126.0,126.0,2025-07-19 20:07:59
HHS31,100,0.114583922,Health and Hygiene,139.6,81.0,81.0,2025-07-19 20:07:59
FVF65,500,0.100799828,Fruits and Vegetables,78.4,282.0,282.0,2025-07-19 20:07:59
BAE29,1000,0.191603334,Baking Goods,87.1,157.0,157.0,2025-07-19 20:07:59
BKX53,200,0.156072361,Breakfast,169.3,248.0,248.0,2025-07-19 20:07:59
SDJ36,330,0.115636723,Soft Drinks,199.7,117.0,117.0,2025-07-19 20:07:59
FRJ74,600,0.167725251,Frozen Foods,128.4,154.0,154.0,2025-07-19 20:07:59
FVA30,300,0.100378096,Fruits and Vegetables,122.4,92.0,92.0,2025-07-19 20:07:59
SFR87,100,0.14460413,Snack Foods,102.6,264.0,264.0,2025-07-19 20:07:59
CAJ70,800,0.169667145,Canned,183.5,129.0,129.0,2025-07-19 20:07:59
SFS32,30,0.097398254,Snack Foods,157.4,105.0,105.0,2025-07-19 20:07:59
FRT94,1500,0.232072674,Frozen Foods,229.5,153.0,153.0,2025-07-19 20:07:59
SFE03,30,0.108689606,Snack Foods,159.4,141.0,141.0,2025-07-19 20:07:59
SFG44,100,0.103664897,Snack Foods,233.7,91.0,91.0,2025-07-19 20:07:59
SFD50,30,0.105282932,Snack Foods,157.0,126.0,126.0,2025-07-19 20:07:59
BAM97,1000,0.141406394,Baking Goods,50.0,192.0,192.0,2025-07-19 20:07:59
BAR26,500,0.132248069,Baking Goods,150.5,127.0,127.0,2025-07-19 20:07:59
BAU65,500,0.304859104,Baking Goods,125.4,258.0,258.0,2025-07-19 20:07:59
CAS85,400,0.1175683,Canned,197.7,227.0,227.0,2025-07-19 20:07:59
SFT82,75,0.291826616,Snack Foods,107.2,224.0,224.0,2025-07-19 20:07:59
DAL63,200,0.107714834,Dairy,97.9,63.0,63.0,2025-07-19 20:07:59
SEC49,700,0.146299902,Seafood,150.4,82.0,82.0,2025-07-19 20:07:59
MEZ82,500,0.123531974,Meat,108.3,169.0,169.0,2025-07-19 20:07:59
HHO88,100,0.242768664,Health and Hygiene,226.5,124.0,124.0,2025-07-19 20:07:59
HHV35,500,0.097629611,Health and Hygiene,240.4,205.0,205.0,2025-07-19 20:07:59
HOV30,500,0.158096128,Household,86.4,106.0,106.0,2025-07-19 20:07:59
FVJ68,1000,0.122802943,Fruits and Vegetables,100.1,243.0,243.0,2025-07-19 20:07:59
HOB80,750,0.096411426,Household,193.0,191.0,191.0,2025-07-19 20:07:59
FRS69,1000,0.16871476,Frozen Foods,47.3,214.0,214.0,2025-07-19 20:07:59
DAN89,1000,0.183260221,Dairy,108.6,150.0,150.0,2025-07-19 20:07:59
BAA07,500,0.105287746,Baking Goods,103.3,282.0,282.0,2025-07-19 20:07:59
HON19,1500,0.113497001,Household,253.5,227.0,227.0,2025-07-19 20:07:59
HOY25,750,0.098622378,Household,208.4,178.0,178.0,2025-07-19 20:07:59
BAK19,500,0.162461219,Baking Goods,39.3,141.0,141.0,2025-07-19 20:07:59
SDR87,1500,0.112840108,Soft Drinks,122.0,179.0,179.0,2025-07-19 20:07:59
HDQ68,700,0.298205272,Hard Drinks,55.8,79.0,79.0,2025-07-19 20:07:59
FRV50,600,0.16147714,Frozen Foods,186.2,149.0,149.0,2025-07-19 20:07:59
CAA77,400,0.134870732,Canned,41.9,217.0,217.0,2025-07-19 20:07:59
SFO62,75,0.097750937,Snack Foods,159.7,189.0,189.0,2025-07-19 20:07:59
FVR33,1000,0.107223632,Fruits and Vegetables,144.9,167.0,167.0,2025-07-19 20:07:59
FVO39,200,0.101335811,Fruits and Vegetables,196.6,244.0,244.0,2025-07-19 20:07:59
FRF41,600,0.098993139,Frozen Foods,39.3,216.0,216.0,2025-07-19 20:07:59
MEK30,1000,0.173821519,Meat,151.5,285.0,285.0,2025-07-19 20:07:59
BAI26,250,0.131708682,Baking Goods,152.3,105.0,105.0,2025-07-19 20:07:59
FRI40,600,0.12470444,Frozen Foods,139.6,215.0,215.0,2025-07-19 20:07:59
HHO77,100,0.163096139,Health and Hygiene,43.0,184.0,184.0,2025-07-19 20:07:59
SFC00,100,0.119131749,Snack Foods,227.0,230.0,230.0,2025-07-19 20:07:59
SDN06,330,0.167155198,Soft Drinks,241.8,104.0,104.0,2025-07-19 20:07:59
BKH82,200,0.142986863,Breakfast,130.4,139.0,139.0,2025-07-19 20:07:59
HOY76,1500,0.162856593,Household,54.6,222.0,222.0,2025-07-19 20:07:59
STR47,400,0.128816212,Starchy Foods,96.4,131.0,131.0,2025-07-19 20:07:59
FVJ70,500,0.112316501,Fruits and Vegetables,193.9,149.0,149.0,2025-07-19 20:07:59
FVO92,300,0.096653315,Fruits and Vegetables,235.2,141.0,141.0,2025-07-19 20:07:59
FRG08,500,0.143351652,Frozen Foods,62.1,197.0,197.0,2025-07-19 20:07:59
FVD22,500,0.171245426,Fruits and Vegetables,50.4,173.0,173.0,2025-07-19 20:07:59
SFF59,75,0.134057426,Snack Foods,45.3,163.0,163.0,2025-07-19 20:07:59
FVC01,1000,0.120543611,Fruits and Vegetables,45.8,156.0,156.0,2025-07-19 20:07:59
CAQ16,800,0.117308165,Canned,195.8,225.0,225.0,2025-07-19 20:07:59
BAD65,1000,0.106731895,Baking Goods,183.7,103.0,103.0,2025-07-19 20:07:59
MEQ48,500,0.151159243,Meat,156.6,61.0,61.0,2025-07-19 20:07:59
BRI49,800,0.142419608,Breads,161.2,196.0,196.0,2025-07-19 20:07:59
FVM47,200,0.110215444,Fruits and Vegetables,81.9,100.0,100.0,2025-07-19 20:07:59
BAJ76,250,0.117339056,Baking Goods,195.0,104.0,104.0,2025-07-19 20:07:59
HOM20,500,0.112227747,Household,123.5,76.0,76.0,2025-07-19 20:07:59
SDD92,1500,0.112349962,Soft Drinks,39.2,205.0,205.0,2025-07-19 20:07:59
HOW14,750,0.177661246,Household,170.5,109.0,109.0,2025-07-19 20:07:59
BRV38,800,0.11184963,Breads,64.7,281.0,281.0,2025-07-19 20:07:59
DAZ52,500,0.14215211,Dairy,263.6,95.0,95.0,2025-07-19 20:07:59
DAZ59,200,0.101689151,Dairy,54.7,154.0,154.0,2025-07-19 20:07:59
SFD72,50,0.162242617,Snack Foods,107.9,293.0,293.0,2025-07-19 20:07:59
FVU49,300,0.125756824,Fruits and Vegetables,87.1,186.0,186.0,2025-07-19 20:07:59
FVV70,300,0.172453254,Fruits and Vegetables,115.2,229.0,229.0,2025-07-19 20:07:59
FVE57,1000,0.122202946,Fruits and Vegetables,100.1,87.0,87.0,2025-07-19 20:07:59
CAL89,400,0.124402507,Canned,266.2,150.0,150.0,2025-07-19 20:07:59
SFU56,30,0.108879177,Snack Foods,161.6,265.0,265.0,2025-07-19 20:07:59
SFU94,30,0.140571971,Snack Foods,154.8,201.0,201.0,2025-07-19 20:07:59
FVI94,500,0.107662745,Fruits and Vegetables,143.9,71.0,71.0,2025-07-19 20:07:59
FVY37,300,0.106307146,Fruits and Vegetables,174.9,88.0,88.0,2025-07-19 20:07:59
DAZ31,500,0.171174491,Dairy,139.6,170.0,170.0,2025-07-19 20:07:59
HOX49,500,0.325780807,Household,252.8,174.0,174.0,2025-07-19 20:07:59
HDL69,1000,0.112859454,Hard Drinks,114.5,99.0,99.0,2025-07-19 20:07:59
MEP44,500,0.10239789,Meat,122.1,107.0,107.0,2025-07-19 20:07:59
DAH23,200,0.1027194,Dairy,228.8,155.0,155.0,2025-07-19 20:07:59
BKB74,400,0.266234421,Breakfast,98.5,142.0,142.0,2025-07-19 20:07:59
FVP06,200,0.129668578,Fruits and Vegetables,206.9,234.0,234.0,2025-07-19 20:07:59
HOF01,500,0.176411579,Household,173.2,267.0,267.0,2025-07-19 20:07:59
MEX78,500,0.096046304,Meat,178.7,126.0,126.0,2025-07-19 20:07:59
FVX79,1000,0.106928681,Fruits and Vegetables,173.7,101.0,101.0,2025-07-19 20:07:59
SFI31,75,0.138585859,Snack Foods,252.5,190.0,190.0,2025-07-19 20:07:59
FRG13,1000,0.12152072,Frozen Foods,118.0,229.0,229.0,2025-07-19 20:07:59
SFZ34,50,0.160665697,Snack Foods,227.5,266.0,266.0,2025-07-19 20:07:59
BAX76,250,0.208987123,Baking Goods,106.1,74.0,74.0,2025-07-19 20:07:59
BRS15,250,0.136695145,Breads,173.4,171.0,171.0,2025-07-19 20:07:59
CAQ99,400,0.140311123,Canned,265.7,280.0,280.0,2025-07-19 20:07:59
FVX86,500,0.176991029,Fruits and Vegetables,221.6,97.0,97.0,2025-07-19 20:07:59
SFR34,100,0.136984147,Snack Foods,192.7,208.0,208.0,2025-07-19 20:07:59
FVG03,1000,0.155316936,Fruits and Vegetables,64.2,112.0,112.0,2025-07-19 20:07:59
SDX29,500,0.108036187,Soft Drinks,57.4,158.0,158.0,2025-07-19 20:07:59
FVE58,200,0.16216286,Fruits and Vegetables,62.2,134.0,134.0,2025-07-19 20:07:59
FRC73,1500,0.118806857,Frozen Foods,248.8,81.0,81.0,2025-07-19 20:07:59
FRV91,400,0.126313413,Frozen Foods,100.6,78.0,78.0,2025-07-19 20:07:59
FRA12,1500,0.098910759,Frozen Foods,37.6,150.0,150.0,2025-07-19 20:07:59
BKF00,200,0.10154201,Breakfast,173.8,272.0,272.0,2025-07-19 20:07:59
DAZ33,200,0.119077255,Dairy,231.2,62.0,62.0,2025-07-19 20:07:59
FVZ66,500,0.103988736,Fruits and Vegetables,177.0,205.0,205.0,2025-07-19 20:07:59
DAZ75,500,0.114581955,Dairy,94.3,86.0,86.0,2025-07-19 20:07:59
FVW64,1000,0.175962247,Fruits and Vegetables,223.1,198.0,198.0,2025-07-19 20:07:59
MED88,500,0.255929096,Meat,103.4,223.0,223.0,2025-07-19 20:07:59
FRO47,1500,0.110653377,Frozen Foods,37.0,76.0,76.0,2025-07-19 20:07:59
BRS92,800,0.185306514,Breads,125.6,158.0,158.0,2025-07-19 20:07:59
SFC97,75,0.099535996,Snack Foods,52.3,289.0,289.0,2025-07-19 20:07:59
SFM83,30,0.175336471,Snack Foods,107.1,148.0,148.0,2025-07-19 20:07:59
DAJ77,1000,0.143319995,Dairy,237.5,131.0,131.0,2025-07-19 20:07:59
SFY44,50,0.159967845,Snack Foods,94.7,68.0,68.0,2025-07-19 20:07:59
HHE38,100,0.096592065,Health and Hygiene,117.4,209.0,209.0,2025-07-19 20:07:59
BRW14,800,0.168527463,Breads,33.7,108.0,108.0,2025-07-19 20:07:59
FVU84,1000,0.142570104,Fruits and Vegetables,88.3,159.0,159.0,2025-07-19 20:07:59
SDG68,1500,0.128126825,Soft Drinks,183.7,192.0,192.0,2025-07-19 20:07:59
CAR16,400,0.097410707,Canned,52.7,207.0,207.0,2025-07-19 20:07:59
HHP10,100,0.113939434,Health and Hygiene,160.3,161.0,161.0,2025-07-19 20:07:59
CAJ36,800,0.104083376,Canned,107.5,123.0,123.0,2025-07-19 20:07:59
DAY16,1000,0.184035253,Dairy,42.2,201.0,201.0,2025-07-19 20:07:59
BAO23,1000,0.106918052,Baking Goods,183.6,226.0,226.0,2025-07-19 20:07:59
FRX43,1000,0.105104552,Frozen Foods,121.7,72.0,72.0,2025-07-19 20:07:59
SDI22,1000,0.176070535,Soft Drinks,144.0,63.0,63.0,2025-07-19 20:07:59
DAL10,500,0.19244045,Dairy,43.9,208.0,208.0,2025-07-19 20:07:59
FVI57,1000,0.104463896,Fruits and Vegetables,227.1,75.0,75.0,2025-07-19 20:07:59
HOB99,750,0.177992139,Household,173.1,109.0,109.0,2025-07-19 20:07:59
SDU68,1500,0.192540665,Soft Drinks,160.2,71.0,71.0,2025-07-19 20:07:59
SDA51,1500,0.127821472,Soft Drinks,186.0,142.0,142.0,2025-07-19 20:07:59
DAW27,200,0.156831826,Dairy,241.1,219.0,219.0,2025-07-19 20:07:59
CAB02,400,0.098036903,Canned,51.5,229.0,229.0,2025-07-19 20:07:59
SDY48,1500,0.107597879,Soft Drinks,58.8,210.0,210.0,2025-07-19 20:07:59
HOQ51,500,0.124610886,Household,113.2,91.0,91.0,2025-07-19 20:07:59
SFV70,30,0.173462841,Snack Foods,157.7,212.0,212.0,2025-07-19 20:07:59
DAF18,1000,0.24749009,Dairy,263.2,102.0,102.0,2025-07-19 20:07:59
DAB01,500,0.124910635,Dairy,109.6,88.0,88.0,2025-07-19 20:07:59
SFF48,30,0.12241394,Snack Foods,42.9,133.0,133.0,2025-07-19 20:07:59
FVO84,1000,0.144338493,Fruits and Vegetables,172.1,233.0,233.0,2025-07-19 20:07:59
FVC68,500,0.27321283,Fruits and Vegetables,241.0,194.0,194.0,2025-07-19 20:07:59
BAZ34,1000,0.133198355,Baking Goods,91.1,85.0,85.0,2025-07-19 20:07:59
BRF14,250,0.12961476,Breads,86.2,150.0,150.0,2025-07-19 20:07:59
CAC06,800,0.102038294,Canned,231.9,196.0,196.0,2025-07-19 20:07:59
SFM33,75,0.135258515,Snack Foods,47.2,262.0,262.0,2025-07-19 20:07:59
HOA61,1000,0.120396991,Household,163.5,235.0,235.0,2025-07-19 20:07:59
HOA76,1000,0.099053537,Household,212.7,86.0,86.0,2025-07-19 20:07:59
SFE73,50,0.134564284,Snack Foods,159.8,72.0,72.0,2025-07-19 20:07:59
HDH43,700,0.14032811,Hard Drinks,109.2,246.0,246.0,2025-07-19 20:07:59
FVX73,500,0.125942816,Fruits and Vegetables,176.0,126.0,126.0,2025-07-19 20:07:59
FVC04,300,0.103146658,Fruits and Vegetables,117.2,99.0,99.0,2025-07-19 20:07:59
FVL62,500,0.166032929,Fruits and Vegetables,170.9,140.0,140.0,2025-07-19 20:07:59
BAD82,500,0.139484292,Baking Goods,94.3,272.0,272.0,2025-07-19 20:07:59
HOU33,1500,0.134418705,Household,99.7,58.0,58.0,2025-07-19 20:07:59
HOI71,1000,0.168266556,Household,195.5,147.0,147.0,2025-07-19 20:07:59
BRW92,250,0.11144608,Breads,64.7,100.0,100.0,2025-07-19 20:07:59
HDV29,1000,0.163233667,Hard Drinks,144.6,197.0,197.0,2025-07-19 20:07:59
SFL29,100,0.121748174,Snack Foods,97.0,181.0,181.0,2025-07-19 20:07:59
DAJ75,500,0.132939639,Dairy,98.1,281.0,281.0,2025-07-19 20:07:59
FRF50,600,0.131921819,Frozen Foods,246.3,193.0,193.0,2025-07-19 20:07:59
MEE47,300,0.122372504,Meat,101.6,136.0,136.0,2025-07-19 20:07:59
DAR35,200,0.131489269,Dairy,89.7,108.0,108.0,2025-07-19 20:07:59
FVY00,300,0.128390273,Fruits and Vegetables,112.0,88.0,88.0,2025-07-19 20:07:59
DAQ81,500,0.144534212,Dairy,190.7,232.0,232.0,2025-07-19 20:07:59
HDY97,500,0.140821917,Hard Drinks,252.9,143.0,143.0,2025-07-19 20:07:59
DAC71,500,0.110359004,Dairy,42.7,130.0,130.0,2025-07-19 20:07:59
FVP44,300,0.160722863,Fruits and Vegetables,65.7,76.0,76.0,2025-07-19 20:07:59
HOO07,750,0.143574191,Household,37.2,229.0,229.0,2025-07-19 20:07:59
SFX01,30,0.099333217,Snack Foods,51.4,202.0,202.0,2025-07-19 20:07:59
CAB60,400,0.12475207,Canned,90.9,155.0,155.0,2025-07-19 20:07:59
STG18,1000,0.141792841,Starchy Foods,89.7,86.0,86.0,2025-07-19 20:07:59
HOQ54,750,0.09660879,Household,57.0,202.0,202.0,2025-07-19 20:07:59
DAK66,200,0.153456703,Dairy,264.1,155.0,155.0,2025-07-19 20:07:59
CAH03,800,0.139202085,Canned,46.1,91.0,91.0,2025-07-19 20:07:59
FRH03,1500,0.100482186,Frozen Foods,111.9,146.0,146.0,2025-07-19 20:07:59
DAC72,500,0.102426197,Dairy,230.6,135.0,135.0,2025-07-19 20:07:59
FRB23,1000,0.139669224,Frozen Foods,147.6,242.0,242.0,2025-07-19 20:07:59
HDR43,700,0.137972993,Hard Drinks,158.5,130.0,130.0,2025-07-19 20:07:59
SFM92,30,0.121940099,Snack Foods,95.4,171.0,171.0,2025-07-19 20:07:59
CAD10,400,0.13727,Canned,94.4,223.0,223.0,2025-07-19 20:07:59
FRW64,600,0.095989602,Frozen Foods,127.4,262.0,262.0,2025-07-19 20:07:59
CAD91,400,0.142443405,Canned,170.4,187.0,187.0,2025-07-19 20:07:59
HDW12,700,0.137410256,Hard Drinks,161.8,84.0,84.0,2025-07-19 20:07:59
SFN65,50,0.104400238,Snack Foods,113.6,111.0,111.0,2025-07-19 20:07:59
SFX99,75,0.208162156,Snack Foods,228.2,97.0,97.0,2025-07-19 20:07:59
CAH18,800,0.121936216,Canned,94.5,233.0,233.0,2025-07-19 20:07:59
STG97,1000,0.135646297,Starchy Foods,186.1,239.0,239.0,2025-07-19 20:07:59
FRL65,400,0.128397995,Frozen Foods,178.3,215.0,215.0,2025-07-19 20:07:59
BAF98,1000,0.2004264,Baking Goods,88.9,279.0,279.0,2025-07-19 20:07:59
BAX90,500,0.172856719,Baking Goods,148.2,137.0,137.0,2025-07-19 20:07:59
BAD02,250,0.127334766,Baking Goods,88.3,93.0,93.0,2025-07-19 20:07:59
SEK65,300,0.12953868,Seafood,240.3,205.0,205.0,2025-07-19 20:07:59
SDR13,500,0.112119359,Soft Drinks,123.0,243.0,243.0,2025-07-19 20:07:59
SDB14,500,0.113307794,Soft Drinks,187.1,144.0,144.0,2025-07-19 20:07:59
SFK22,50,0.225476528,Snack Foods,45.1,116.0,116.0,2025-07-19 20:07:59
SFP05,50,0.139301634,Snack Foods,145.0,245.0,245.0,2025-07-19 20:07:59
DAC25,200,0.1017546,Dairy,55.2,130.0,130.0,2025-07-19 20:07:59
DAE26,1000,0.156307983,Dairy,196.3,171.0,171.0,2025-07-19 20:07:59
FRF38,500,0.195688803,Frozen Foods,77.4,201.0,201.0,2025-07-19 20:07:59
HDL09,500,0.13747519,Hard Drinks,158.7,200.0,200.0,2025-07-19 20:07:59
DAR32,500,0.097457483,Dairy,55.4,81.0,81.0,2025-07-19 20:07:59
SDU55,1000,0.150872868,Soft Drinks,47.6,100.0,100.0,2025-07-19 20:07:59
SFL33,100,0.121153331,Snack Foods,97.4,152.0,152.0,2025-07-19 20:07:59
SFZ14,100,0.163160327,Snack Foods,107.5,259.0,259.0,2025-07-19 20:07:59
HOS89,1500,0.148163564,Household,232.8,227.0,227.0,2025-07-19 20:07:59
MEL29,500,0.150853308,Meat,156.0,136.0,136.0,2025-07-19 20:07:59
MEP31,1000,0.109667698,Meat,166.1,131.0,131.0,2025-07-19 20:07:59
FVL13,200,0.130127365,Fruits and Vegetables,96.2,284.0,284.0,2025-07-19 20:07:59
SFN28,100,0.124126756,Snack Foods,89.0,158.0,158.0,2025-07-19 20:07:59
SFF07,50,0.130031207,Snack Foods,142.5,250.0,250.0,2025-07-19 20:07:59
HOR60,750,0.096333029,Household,57.9,250.0,250.0,2025-07-19 20:07:59
SDM10,500,0.175047104,Soft Drinks,146.9,171.0,171.0,2025-07-19 20:07:59
HHN07,100,0.132952286,Health and Hygiene,37.7,91.0,91.0,2025-07-19 20:07:59
FRY36,1000,0.099271209,Frozen Foods,88.6,109.0,109.0,2025-07-19 20:07:59
CAJ77,800,0.102226474,Canned,91.3,237.0,237.0,2025-07-19 20:07:59
MED12,300,0.178210285,Meat,95.8,95.0,95.0,2025-07-19 20:07:59
FVO96,300,0.184440421,Fruits and Vegetables,99.7,177.0,177.0,2025-07-19 20:07:59
DAU13,200,0.108679906,Dairy,95.7,85.0,85.0,2025-07-19 20:07:59
HDO18,500,0.136500981,Hard Drinks,173.3,215.0,215.0,2025-07-19 20:07:59
BAN65,1000,0.117149075,Baking Goods,164.1,136.0,136.0,2025-07-19 20:07:59
CAI40,800,0.153618566,Canned,79.7,195.0,195.0,2025-07-19 20:07:59
FRS83,500,0.12826315,Frozen Foods,83.4,79.0,79.0,2025-07-19 20:07:59
FVI14,500,0.157154813,Fruits and Vegetables,62.2,124.0,124.0,2025-07-19 20:07:59
CAA50,800,0.136497913,Canned,96.3,153.0,153.0,2025-07-19 20:07:59
HHM21,250,0.162462044,Health and Hygiene,117.6,223.0,223.0,2025-07-19 20:07:59
SFF56,75,0.118080437,Snack Foods,222.6,133.0,133.0,2025-07-19 20:07:59
SDH13,500,0.113302223,Soft Drinks,125.1,154.0,154.0,2025-07-19 20:07:59
HOR35,750,0.126958147,Household,125.8,134.0,134.0,2025-07-19 20:07:59
BAU26,1000,0.105307659,Baking Goods,102.1,243.0,243.0,2025-07-19 20:07:59
BKI27,400,0.209600084,Breakfast,40.3,90.0,90.0,2025-07-19 20:07:59
HHK96,250,0.113917889,Health and Hygiene,158.3,82.0,82.0,2025-07-19 20:07:59
HDW65,1000,0.135620265,Hard Drinks,172.9,158.0,158.0,2025-07-19 20:07:59
HOJ29,750,0.134975628,Household,170.6,224.0,224.0,2025-07-19 20:07:59
HOT82,1000,0.111777297,Household,124.6,257.0,257.0,2025-07-19 20:07:59
STZ88,1000,0.134441765,Starchy Foods,184.0,150.0,150.0,2025-07-19 20:07:59
FVL04,1000,0.103758647,Fruits and Vegetables,177.0,93.0,93.0,2025-07-19 20:07:59
MEQ41,1000,0.136701678,Meat,182.2,104.0,104.0,2025-07-19 20:07:59
FVZ47,200,0.308145448,Fruits and Vegetables,222.1,116.0,116.0,2025-07-19 20:07:59
SFT14,50,0.13064231,Snack Foods,88.4,66.0,66.0,2025-07-19 20:07:59
DAC30,1000,0.137368051,Dairy,264.4,120.0,120.0,2025-07-19 20:07:59
HHA02,100,0.117593973,Health and Hygiene,154.5,105.0,105.0,2025-07-19 20:07:59
HHY49,100,0.176175402,Health and Hygiene,184.1,105.0,105.0,2025-07-19 20:07:59
BRB37,500,0.114318263,Breads,142.3,149.0,149.0,2025-07-19 20:07:59
FRT98,500,0.245483691,Frozen Foods,141.9,118.0,118.0,2025-07-19 20:07:59
FVG54,500,0.107274301,Fruits and Vegetables,145.6,284.0,284.0,2025-07-19 20:07:59
DAM51,1000,0.102670882,Dairy,228.6,274.0,274.0,2025-07-19 20:07:59
HOW60,750,0.168531813,Household,192.5,207.0,207.0,2025-07-19 20:07:59
FVF24,300,0.183688161,Fruits and Vegetables,100.3,150.0,150.0,2025-07-19 20:07:59
FRR25,500,0.125579201,Frozen Foods,99.7,137.0,137.0,2025-07-19 20:07:59
CAQ62,800,0.161762835,Canned,185.9,112.0,112.0,2025-07-19 20:07:59
SFQ35,30,0.104878967,Snack Foods,164.9,208.0,208.0,2025-07-19 20:07:59
FVK36,200,0.107469819,Fruits and Vegetables,77.8,286.0,286.0,2025-07-19 20:07:59
FVV20,200,0.142910689,Fruits and Vegetables,89.7,230.0,230.0,2025-07-19 20:07:59
BRC77,250,0.142511272,Breads,158.8,168.0,168.0,2025-07-19 20:07:59
SDC67,1500,0.09557165,Soft Drinks,171.0,105.0,105.0,2025-07-19 20:07:59
SFC85,75,0.117667492,Snack Foods,159.6,120.0,120.0,2025-07-19 20:07:59
FRN21,1500,0.107021498,Frozen Foods,40.6,146.0,146.0,2025-07-19 20:07:59
